ReportID,SalesPersonID,ProductID,Quantity,TotalSalesValue,Suspicious,UnitPrice
Rep10101,C21116,PR6112,182,1665,indeterminate,9.148351648351648
Rep10102,C21116,PR6112,182,1740,indeterminate,9.56043956043956
Rep10103,C21116,PR6253,101,1040,indeterminate,10.297029702970297
Rep10104,C21116,PR6253,283,4495,No,15.883392226148409
Rep10105,C21116,PR6294,108,1465,indeterminate,13.564814814814815
Rep10106,C21116,PR6253,421,6655,indeterminate,15.807600950118765
Rep10107,C21116,PR6294,117,1860,indeterminate,15.897435897435898
Rep10108,C21116,PR6253,103,1120,indeterminate,10.87378640776699
Rep10109,C21116,PR6112,182,1740,indeterminate,9.56043956043956
Rep10110,C21116,PR6297,150,2300,indeterminate,15.333333333333334
Rep10111,C21918,PR6473,96,1005,indeterminate,10.46875
Rep10112,C21918,PR6474,107,1025,indeterminate,9.57943925233645
Rep10113,C21918,PR6142,138,3070,indeterminate,22.246376811594203
Rep10114,C21918,PR6245,110,1495,indeterminate,13.590909090909092
Rep10115,C21918,PR6473,101,1005,indeterminate,9.950495049504951
Rep10116,C21918,PR6388,113,1115,indeterminate,9.867256637168142
Rep10117,C21918,PR6112,101,1030,indeterminate,10.198019801980198
Rep10118,C21918,PR6320,103,1035,indeterminate,10.048543689320388
Rep10119,C21918,PR6320,138,2315,indeterminate,16.77536231884058
Rep10120,C21918,PR6206,150,1105,indeterminate,7.366666666666666
Rep10121,C21918,PR6112,112,1100,indeterminate,9.821428571428571
Rep10122,C21918,PR6474,110,1040,indeterminate,9.454545454545455
Rep10123,C21918,PR6142,128,1550,indeterminate,12.109375
Rep10124,C21918,PR6320,112,1150,indeterminate,10.267857142857142
Rep10125,C21918,PR6161,108,1120,indeterminate,10.37037037037037
Rep10126,C21918,PR6604,103,1035,indeterminate,10.048543689320388
Rep10127,C21918,PR6320,106,1290,indeterminate,12.169811320754716
Rep10128,C21918,PR6142,117,2795,indeterminate,23.88888888888889
Rep10129,C21918,PR6320,104,1050,indeterminate,10.096153846153847
Rep10130,C21918,PR6156,195,1450,indeterminate,7.435897435897436
Rep10131,C21918,PR6388,140,1215,indeterminate,8.678571428571429
Rep10132,C21918,PR6116,180,1455,indeterminate,8.083333333333334
Rep10133,C21918,PR6157,148,1130,indeterminate,7.635135135135135
Rep10134,C21918,PR6388,106,1060,indeterminate,10.0
Rep10135,C21918,PR6226,100,1035,indeterminate,10.35
Rep10136,C21918,PR6410,473,1070,indeterminate,2.2621564482029597
Rep10137,C21918,PR6206,488,1660,indeterminate,3.401639344262295
Rep10138,C21918,PR6157,449,1590,indeterminate,3.541202672605791
Rep10139,C21918,PR6388,107,1225,indeterminate,11.448598130841122
Rep10140,C21918,PR6226,143,1195,indeterminate,8.356643356643357
Rep10141,C21918,PR6116,107,1050,indeterminate,9.813084112149532
Rep10142,C21918,PR6157,285,1380,indeterminate,4.842105263157895
Rep10143,C21918,PR6112,140,1355,indeterminate,9.678571428571429
Rep10144,C21918,PR6156,120,1045,indeterminate,8.708333333333334
Rep10145,C21918,PR6157,255,1435,indeterminate,5.627450980392157
Rep10146,C21918,PR6206,102,1045,indeterminate,10.245098039215685
Rep10147,C21918,PR6112,110,1055,indeterminate,9.590909090909092
Rep10148,C21918,PR6249,105,1070,No,10.19047619047619
Rep10149,C21918,PR6548,606,2035,indeterminate,3.3580858085808583
Rep10150,C21918,PR6157,207,1190,indeterminate,5.748792270531401
Rep10151,C21918,PR6253,111,1110,indeterminate,10.0
Rep10152,C21918,PR6604,135,1305,indeterminate,9.666666666666666
Rep10153,C21918,PR6115,105,1120,indeterminate,10.666666666666666
Rep10154,C21918,PR6604,114,1195,indeterminate,10.482456140350877
Rep10155,C21918,PR6112,101,1035,indeterminate,10.247524752475247
Rep10156,C21918,PR6597,88,1030,indeterminate,11.704545454545455
Rep10157,C21918,PR6161,108,1435,indeterminate,13.287037037037036
Rep10158,C21918,PR6112,111,1050,indeterminate,9.45945945945946
Rep10159,C21918,PR6226,108,1090,indeterminate,10.092592592592593
Rep10160,C21918,PR6156,304,1315,indeterminate,4.3256578947368425
Rep10161,C21918,PR6116,227,1590,indeterminate,7.004405286343612
Rep10162,C21918,PR6241,106,1010,indeterminate,9.528301886792454
Rep10163,C21918,PR6246,100,1005,No,10.05
Rep10164,C21918,PR6115,116,1490,indeterminate,12.844827586206897
Rep10165,C21918,PR6112,103,1255,indeterminate,12.184466019417476
Rep10166,C22276,PR6331,113,1920,indeterminate,16.991150442477878
Rep10167,C22276,PR6115,127,1335,indeterminate,10.511811023622048
Rep10168,C22276,PR6145,111,1320,indeterminate,11.891891891891891
Rep10169,C22276,PR6253,118,2715,indeterminate,23.008474576271187
Rep10170,C22276,PR6326,173,2425,indeterminate,14.017341040462428
Rep10171,C22276,PR6165,102,1275,indeterminate,12.5
Rep10172,C22276,PR6253,200,16110,indeterminate,80.55
Rep10173,C22276,PR6253,133,2530,No,19.022556390977442
Rep10174,C22276,PR6112,385,5095,indeterminate,13.233766233766234
Rep10175,C22276,PR6145,128,5795,indeterminate,45.2734375
Rep10176,C22276,PR6326,170,2005,indeterminate,11.794117647058824
Rep10177,C22276,PR6145,105,1910,indeterminate,18.19047619047619
Rep10178,C22276,PR6165,127,1335,indeterminate,10.511811023622048
Rep10179,C22276,PR6253,616,19005,indeterminate,30.852272727272727
Rep10180,C22276,PR6139,395,1365,indeterminate,3.4556962025316458
Rep10181,C22276,PR6326,267,3125,indeterminate,11.704119850187267
Rep10182,C22276,PR6112,163,2995,indeterminate,18.374233128834355
Rep10183,C22276,PR6253,175,6530,No,37.31428571428572
Rep10184,C22276,PR6115,113,1135,indeterminate,10.044247787610619
Rep10185,C22276,PR6145,111,1320,indeterminate,11.891891891891891
Rep10186,C22276,PR6165,127,1335,indeterminate,10.511811023622048
Rep10187,C22276,PR6331,138,1795,indeterminate,13.007246376811594
Rep10188,C22276,PR6326,102,1095,indeterminate,10.735294117647058
Rep10189,C22276,PR6161,819,3600,indeterminate,4.395604395604396
Rep10190,C22276,PR6139,655,3275,indeterminate,5.0
Rep10191,C22276,PR6139,100,1100,indeterminate,11.0
Rep10192,C22276,PR6331,133,2490,indeterminate,18.721804511278197
Rep10193,C22276,PR6165,125,1585,indeterminate,12.68
Rep10194,C22276,PR6326,163,1670,indeterminate,10.245398773006135
Rep10195,C22276,PR6253,141,7615,indeterminate,54.00709219858156
Rep10196,C22276,PR6331,141,2440,indeterminate,17.30496453900709
Rep10197,C22276,PR6115,113,1180,indeterminate,10.442477876106194
Rep10198,C22276,PR6208,177,3890,indeterminate,21.9774011299435
Rep10199,C22276,PR6141,819,3660,indeterminate,4.468864468864469
Rep10200,C22276,PR6326,218,2675,indeterminate,12.270642201834862
Rep10201,C22276,PR6331,119,4015,indeterminate,33.739495798319325
Rep10202,C22276,PR6253,122,4585,indeterminate,37.58196721311475
Rep10203,C22276,PR6253,172,4305,indeterminate,25.02906976744186
Rep10204,C22276,PR6326,218,2675,indeterminate,12.270642201834862
Rep10205,C22276,PR6253,161,2865,indeterminate,17.795031055900623
Rep10206,C22276,PR6139,377,2115,indeterminate,5.610079575596817
Rep10207,C22276,PR6326,102,1095,indeterminate,10.735294117647058
Rep10208,C22276,PR6331,133,2790,indeterminate,20.977443609022558
Rep10209,C22276,PR6241,105,1375,indeterminate,13.095238095238095
Rep10210,C22276,PR6253,147,2425,indeterminate,16.496598639455783
Rep10211,C22276,PR6145,111,1320,indeterminate,11.891891891891891
Rep10212,C22276,PR6112,163,2995,indeterminate,18.374233128834355
Rep10213,C22276,PR6165,102,1025,indeterminate,10.049019607843137
Rep10214,C22276,PR6474,122,3150,indeterminate,25.81967213114754
Rep10215,C22276,PR6145,111,1320,indeterminate,11.891891891891891
Rep10216,C22276,PR6331,133,2490,indeterminate,18.721804511278197
Rep10217,C22276,PR6112,129,1855,indeterminate,14.37984496124031
Rep10218,C22276,PR6326,162,1895,indeterminate,11.697530864197532
Rep10219,C22276,PR6253,147,2425,indeterminate,16.496598639455783
Rep10220,C22276,PR6326,163,1670,indeterminate,10.245398773006135
Rep10221,C22276,PR6115,127,1335,indeterminate,10.511811023622048
Rep10222,C22276,PR6326,115,1225,indeterminate,10.652173913043478
Rep10223,C22276,PR6165,100,1050,indeterminate,10.5
Rep10224,C22276,PR6208,152,2740,indeterminate,18.026315789473685
Rep10225,C22276,PR6253,150,1995,indeterminate,13.3
Rep10226,C22276,PR6115,111,1265,indeterminate,11.396396396396396
Rep10227,C22276,PR6139,655,3275,indeterminate,5.0
Rep10228,C22276,PR6145,111,2475,indeterminate,22.2972972972973
Rep10229,C22276,PR6331,113,1920,indeterminate,16.991150442477878
Rep10230,C22276,PR6165,113,1195,indeterminate,10.575221238938052
Rep10231,C22276,PR6326,102,1095,indeterminate,10.735294117647058
Rep10232,C22276,PR6602,101,1205,indeterminate,11.930693069306932
Rep10233,C22276,PR6112,137,2425,indeterminate,17.7007299270073
Rep10234,C22276,PR6248,125,2210,indeterminate,17.68
Rep10235,C22276,PR6139,100,991,indeterminate,9.91
Rep10236,C22276,PR6208,123,1665,indeterminate,13.536585365853659
Rep10237,C22276,PR6326,163,1670,indeterminate,10.245398773006135
Rep10238,C22276,PR6326,163,1670,indeterminate,10.245398773006135
Rep10239,C22276,PR6326,131,1450,indeterminate,11.068702290076336
Rep10240,C22276,PR6253,119,1955,indeterminate,16.428571428571427
Rep10241,C22276,PR6112,163,2995,indeterminate,18.374233128834355
Rep10242,C22276,PR6331,113,1350,indeterminate,11.946902654867257
Rep10243,C22276,PR6165,127,1335,indeterminate,10.511811023622048
Rep10244,C22276,PR6145,470,6295,indeterminate,13.393617021276595
Rep10245,C22276,PR6112,220,2830,indeterminate,12.863636363636363
Rep10246,C22276,PR6253,104,2120,indeterminate,20.384615384615383
Rep10247,C22276,PR6112,190,2275,indeterminate,11.973684210526315
Rep10248,C22276,PR6253,150,1995,indeterminate,13.3
Rep10249,C22276,PR6139,655,3275,indeterminate,5.0
Rep10250,C22276,PR6616,102,1065,indeterminate,10.441176470588236
Rep10251,C22276,PR6326,218,2675,indeterminate,12.270642201834862
Rep10252,C22276,PR6220,119,1800,indeterminate,15.126050420168067
Rep10253,C22276,PR6326,105,1155,indeterminate,11.0
Rep10254,C22276,PR6139,655,3275,indeterminate,5.0
Rep10255,C22276,PR6253,230,13035,indeterminate,56.67391304347826
Rep10256,C22276,PR6139,101,1100,indeterminate,10.891089108910892
Rep10257,C22276,PR6141,377,2115,indeterminate,5.610079575596817
Rep10258,C22276,PR6276,138,1560,indeterminate,11.304347826086957
Rep10259,C22276,PR6326,341,4360,indeterminate,12.785923753665688
Rep10260,C22276,PR6139,101,1100,indeterminate,10.891089108910892
Rep10261,C22276,PR6115,127,1335,indeterminate,10.511811023622048
Rep10262,C22276,PR6253,266,5025,indeterminate,18.89097744360902
Rep10263,C21820,PR6227,305,2855,indeterminate,9.360655737704919
Rep10264,C21820,PR6167,6121,22745,indeterminate,3.715896095409247
Rep10265,C21820,PR6227,232,2600,indeterminate,11.206896551724139
Rep10266,C21820,PR6602,2841,18065,indeterminate,6.358676522351285
Rep10267,C21820,PR6182,1070,4050,indeterminate,3.7850467289719627
Rep10268,C21820,PR6167,3158,13090,indeterminate,4.1450284990500315
Rep10269,C21820,PR6604,900,6560,indeterminate,7.288888888888889
